fleet,rank,sailNumber,boatName,beforeRace1,r1_hcapAchieved,r1_change,r1_timeDelta,r1_nextHcap,r2_hcapAchieved,r2_change,r2_timeDelta,r2_nextHcap,r3_hcapAchieved,r3_change,r3_timeDelta,r3_nextHcap,r4_hcapAchieved,r4_change,r4_timeDelta,r4_nextHcap,r5_hcapAchieved,r5_change,r5_timeDelta,r5_nextHcap,r6_hcapAchieved,r6_change,r6_timeDelta,r6_nextHcap,changeOverSeries,compositeHcap
CR2,1,3494,Swuzzlebubble,1.019,1.0549,+0.011,0:00:00,1.030,1.0401,+0.003,0:03:31,1.033,1.0532,+0.006,0:00:57,1.039,1.1032,+0.019,0:00:00,1.058,1.0802,+0.007,0:01:09,1.065,1.0863,+0.006,0:00:36,1.071,+0.052,1.06758
CR2,2,1357,Humdinger,0.970,0.9811,+0.003,0:03:46,0.973,1.0300,+0.017,0:01:35,0.990,0.9715,-0.006,0:03:50,0.984,1.0274,+0.013,0:01:26,0.997,1.0368,+0.012,0:00:00,1.009,1.0134,+0.001,0:03:40,1.010,+0.040,1.02038
CR2,3,977,Crazy Diamond,0.985,0.9840,0.000,0:05:42,0.985,1.0810,+0.029,0:00:00,1.014,1.0480,+0.010,0:00:00,1.024,1.0553,+0.009,0:02:29,1.033,1.0598,+0.008,0:00:52,1.041,1.0368,-0.001,0:05:10,1.040,+0.055,1.05165
CR2,4,6697,Jeneral Lee,1.043,1.0547,+0.004,0:03:32,1.047,1.0553,+0.002,0:03:32,1.049,1.0580,+0.003,0:01:41,1.052,1.0739,+0.007,0:03:13,1.059,1.0530,-0.002,0:02:51,1.057,1.0536,-0.001,0:04:56,1.056,+0.013,1.05500
CR2,5,7495,Maximus,0.979,0.9698,-0.003,0:07:08,0.976,0.9734,-0.001,0:04:17,0.975,0.9796,+0.001,0:02:06,0.976,0.9232,-0.016,0:10:34,0.960,0.9345,-0.008,0:04:40,0.952,0.9741,+0.007,0:00:00,0.959,-0.020,0.97159
CR2,6,33301,White Pearl,0.960,0.9926,+0.010,0:00:12,0.970,0.8997,-0.021,0:07:52,0.949,0.9447,-0.001,0:02:53,0.948,0.8835,-0.019,0:12:23,0.929,0.9349,+0.002,0:02:22,0.931,0.9310,0.000,NF,0.931,-0.029,0.93296
CR2,7,111,Allig8r,1.013,1.0070,-0.002,0:06:20,1.011,1.0099,0.000,0:04:04,1.011,0.9950,-0.005,0:03:33,1.006,1.0013,-0.001,0:05:35,1.005,0.9815,-0.007,0:04:15,0.998,0.9857,-0.004,0:07:05,0.994,-0.019,0.99819
CR2,8,2597,Windjammer,1.051,0.9997,-0.015,0:13:00,1.036,1.0319,-0.001,0:04:06,1.035,1.0059,-0.009,0:04:23,1.026,0.9892,-0.011,0:08:19,1.015,1.0150,0.000,NF,1.015,0.9872,-0.008,0:10:04,1.007,-0.044,1.00281
CR2,9,8223,Kamikaze,0.950,0.9306,-0.006,0:09:16,0.944,0.8507,-0.028,0:09:37,0.916,0.9160,0.000,NF,0.916,0.9140,-0.001,0:05:54,0.915,0.8752,-0.012,0:06:16,0.903,0.9030,0.000,NF,0.903,-0.047,0.90852
CR2,10,918,Ulysses,0.965,0.9606,-0.001,0:06:25,0.964,0.9640,0.000,NF,0.964,0.9640,0.000,NF,0.964,0.9640,0.000,NF,0.964,0.9640,0.000,NF,0.964,0.9640,0.000,NF,0.964,-0.001,0.96400
